,id,name,gpa,field_of_study,income
0,S00001,Marc Solomon,2.53,Anthropology,73706
1,S00002,Suzanne Kidd,2.5,Business Administration,22259
2,S00003,Michelle Griffin,2.42,Political Science,31192
3,S00004,Hannah Dixon,2.05,Engineering,530431
4,S00005,Mary Harris,3.13,Chemistry,370142
5,S00006,William Frazier,2.1,Biology,659268
6,S00007,Kristine Price,3.63,Paralegal,330559
7,S00008,Angela Dean,2.85,Computer Science,34353
8,S00009,Brooke Freeman,3.38,Chemistry,693974
9,S00010,Diana Anderson,3.51,Economics,273211
10,S00011,Autumn Martinez,3.79,Law,744928
11,S00012,Kimberly Cummings,3.05,Computer Science,242142
12,S00013,Anita Nguyen,2.67,Chemistry,605166
13,S00014,Holly Diaz,3.19,Physics,338551
14,S00015,Ronald Hoffman,2.78,Art,334424
15,S00016,Patrick Watson,3.21,Biology,458222
16,S00017,Monica Mclaughlin,3.44,Chemistry,394972
17,S00018,Tina Cobb,2.14,Business Administration,367395
18,S00019,William Mathis,2.78,Chemistry,391599
19,S00020,Robyn Jackson,3.65,Mathematics,650373
20,S00021,Justin Miller,2.68,Biology,557106
21,S00022,Rebekah Cooper,2.41,Psychology,565898
22,S00023,Brian Davidson,2.05,Business Administration,246128
23,S00024,Curtis Cortez,2.3,Physics,538559
24,S00025,Nicole Cobb,2.62,Biology,780996
25,S00026,Charles Conrad,3.39,Business Administration,671694
26,S00027,Kevin Nunez,3.69,Mathematics,222977
27,S00028,Paul Henderson,3.22,Music,426827
28,S00029,Michael Howard,3.29,Political Science,380572
29,S00030,Robert Bailey,3.61,Statistics,569859
30,S00031,Leslie Johns,2.16,Chemistry,427362
31,S00032,Melissa Beard,2.18,Mathematics,605872
32,S00033,Hermione Schultz,3.8,Chemistry,101449
33,S00034,Jeffrey Garcia,2.57,Statistics,37663
34,S00035,Katherine Lewis,3.07,Mathematics,174852
35,S00036,James Frazier,3.41,Economics,35737
36,S00037,John Silva,2.05,Art,604674
37,S00038,Tara Mills,3.87,Physics,512932
38,S00039,Hermione Wolf,3.65,Music,303007
39,S00040,Aaron Lewis,3.69,Paralegal,603008
40,S00041,Ronald Miranda,2.46,Law,380947
41,S00042,Heather Lee,2.86,Biology,683649
42,S00043,James Camacho,3.39,Computer Science,752142
43,S00044,Danielle Guerra,2.29,Political Science,254985
44,S00045,Gregory Austin,2.01,Political Science,564993
45,S00046,Sherry Dudley,3.16,Mathematics,127224
46,S00047,Joann Gutierrez,3.81,Engineering,716350
47,S00048,Christopher King,3.65,Art,527777
48,S00049,Roger Kelly,2.53,Law,443179
49,S00050,Kelly Duran,3.08,Law,82284
50,S00051,Matthew Espinoza,3.8,Physics,274606
51,S00052,Ricky Anderson,3.01,Statistics,272863
52,S00053,Angela Petty,3.18,Business Administration,770763
53,S00054,David Green,3.54,Chemistry,741522
54,S00055,Melanie Meyer,3.99,Paralegal,229545
55,S00056,Michael Schultz,3.95,Anthropology,145462
56,S00057,Brandon Silva,3.9,Mathematics,73369
57,S00058,Jamie Maldonado,3.34,Music,411008
58,S00059,Julie Brewer,3.4,Anthropology,318632
59,S00060,Shane Fernandez,2.97,Computer Science,208101
60,S00061,Danielle Gordon,2.46,Engineering,384545
61,S00062,Leonard Collins,2.64,Political Science,111572
62,S00063,Joshua Fernandez,2.44,Statistics,256850
63,S00064,Dennis Curtis,3.57,Biology,330756
64,S00065,Christopher Bradford,3.45,Biology,192208
65,S00066,Michael Kelly,3.08,Engineering,688295
66,S00067,Victor Jenkins,2.44,Paralegal,353807
67,S00068,Adrienne Carrillo,2.72,Engineering,748009
68,S00069,Robert Petty,3.81,Physics,211940
69,S00070,Benjamin Bautista,2.3,Computer Science,409893
70,S00071,Victoria Simpson,3.51,Business Administration,786819
71,S00072,Deborah Farmer,2.74,Engineering,708395
72,S00073,Tony Duffy,3.54,Paralegal,176183
73,S00074,William Anderson,2.2,Law,131475
74,S00075,Benjamin Walker,2.94,Political Science,784510
75,S00076,Benjamin Deleon,2.46,Music,509554
76,S00077,Stephanie Martin,3.62,Art,519515
77,S00078,Vanessa Jackson,2.92,Paralegal,142562
78,S00079,Kaylee Mcgee,3.92,Business Administration,368248
79,S00080,Brittney Cohen,3.56,Computer Science,141923
80,S00081,Denise Smith,3.42,Music,102386
81,S00082,Jessica Nelson,2.87,Computer Science,794985
82,S00083,Jessica Richards,3.18,Statistics,306128
83,S00084,Anna Wolf,3.25,Engineering,312695
84,S00085,Melissa Carlson,2.6,Computer Science,534518
85,S00086,Michelle Hughes,2.86,Physics,57529
86,S00087,Nathan Martin,2.59,Law,107720
87,S00088,Madison Mills,2.23,Anthropology,389925
88,S00089,Cynthia Phillips,3.35,Physics,127620
89,S00090,Stephanie Wang,2.9,Computer Science,492087
90,S00091,Kyle Yang,3.98,Economics,452780
91,S00092,Brian Lopez,3.33,Physics,508149
92,S00093,Bradley Mccoy,3.21,Chemistry,434093
93,S00094,Daniel Mack,3.4,Psychology,127084
94,S00095,Erik Jefferson,3.63,Physics,335203
95,S00096,Justin Briggs,3.62,Business Administration,180722
96,S00097,Jeffrey Perkins,2.16,Music,650596
